contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY260605C00445000,2026-05-11 18:59:34+00:00,445.0,295.38,310.59,313.4,0.0,0.0,,1,1.677735986328125,True,REGULAR,USD,call
SPY260605C00500000,2026-05-29 19:56:22+00:00,500.0,256.93,255.63,258.45,8.539993,3.438139,9.0,10,1.3574250878906249,True,REGULAR,USD,call
SPY260605C00510000,2026-05-21 16:23:04+00:00,510.0,230.13,245.64,248.46,0.0,0.0,4.0,0,1.3027378613281246,True,REGULAR,USD,call
SPY260605C00515000,2026-05-27 20:12:23+00:00,515.0,240.66,240.65,243.46,4.1900024,1.771896,1.0,2,1.2753942480468747,True,REGULAR,USD,call
SPY260605C00520000,2026-05-29 14:43:23+00:00,520.0,235.77,235.65,238.47,4.25,1.8356946,1.0,4,1.2485389135742184,True,REGULAR,USD,call
SPY260605C00525000,2026-05-20 14:49:40+00:00,525.0,214.17,230.66,233.47,0.0,0.0,1.0,3,1.2216835791015623,True,REGULAR,USD,call
SPY260605C00530000,2026-05-22 19:31:07+00:00,530.0,216.24,225.66,228.48,0.0,0.0,2.0,2,1.1953165234375,True,REGULAR,USD,call
SPY260605C00555000,2026-05-22 19:47:24+00:00,555.0,191.15,200.68,203.5,0.0,0.0,6.0,6,1.062992966308594,True,REGULAR,USD,call
SPY260605C00560000,2026-05-22 19:31:37+00:00,560.0,186.66,195.69,198.5,0.0,0.0,2.0,2,1.0371141894531253,True,REGULAR,USD,call
SPY260605C00565000,2026-05-11 13:48:39+00:00,565.0,175.74,190.69,193.51,0.0,0.0,,1,1.01172369140625,True,REGULAR,USD,call
SPY260605C00570000,2026-05-22 19:28:10+00:00,570.0,176.85,185.7,188.52,0.0,0.0,1.0,3,0.9873048144531251,True,REGULAR,USD,call
SPY260605C00575000,2026-05-28 15:23:07+00:00,575.0,179.35,180.7,183.52,0.0,0.0,1.0,3,0.9604496142578124,True,REGULAR,USD,call
SPY260605C00580000,2026-05-26 17:16:05+00:00,580.0,170.07,175.71,178.52,0.0,0.0,2.0,4,0.9355475195312499,True,REGULAR,USD,call
SPY260605C00585000,2026-05-22 19:29:35+00:00,585.0,161.59,170.71,173.53,0.0,0.0,4.0,4,0.9101571484375,True,REGULAR,USD,call
SPY260605C00590000,2026-05-28 15:19:55+00:00,590.0,164.16,165.72,168.53,0.0,0.0,2.0,56,0.8850109155273438,True,REGULAR,USD,call
SPY260605C00594000,2026-05-28 14:34:20+00:00,594.0,158.87,161.72,164.54,0.0,0.0,1.0,0,0.8652357226562499,True,REGULAR,USD,call
SPY260605C00595000,2026-05-27 19:11:06+00:00,595.0,156.02,160.72,163.54,0.0,0.0,1.0,13,0.8598646826171875,True,REGULAR,USD,call
SPY260605C00598000,2026-04-24 19:04:36+00:00,598.0,119.5,157.72,160.55,0.0,0.0,1.0,1,0.8454605297851561,True,REGULAR,USD,call
SPY260605C00600000,2026-05-29 15:12:29+00:00,600.0,157.51,155.95,158.18,2.3300018,1.5014834,161.0,2171,0.8205584350585937,True,REGULAR,USD,call
SPY260605C00601000,2026-05-15 18:13:46+00:00,601.0,143.59,154.73,157.55,0.0,0.0,3.0,3,0.831056376953125,True,REGULAR,USD,call
SPY260605C00603000,2026-05-28 17:57:40+00:00,603.0,152.36,152.73,155.55,0.0,0.0,1.0,2,0.8205584350585937,True,REGULAR,USD,call
SPY260605C00604000,2026-05-28 17:58:57+00:00,604.0,151.41,151.73,154.55,0.0,0.0,2.0,7,0.815431533203125,True,REGULAR,USD,call
SPY260605C00605000,2026-05-28 13:31:34+00:00,605.0,145.81,150.73,153.55,0.0,0.0,1.0,26,0.8103046313476561,True,REGULAR,USD,call
SPY260605C00607000,2026-05-18 15:39:42+00:00,607.0,131.28,148.73,151.55,0.0,0.0,,1,0.799806689453125,True,REGULAR,USD,call
